date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:29:21	0/0	---M--	200	added ('OK')	text/plain	date:Wed,%2015%20Jun%202022%2018:29:22%20GMT	https://servizidicorriereveloce.com:2096/robots.txt		(from )
02:29:22	39889/39889	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2018:29:23%20GMT	https://servizidicorriereveloce.com:2096/	C:/Users/Nicow/OneDrive/Desktop/admin/admin/servizidicorriereveloce.com_2096/index.html	(from )
02:29:24	6478/6478	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Mar%202021%2016:37:21%20GMT	https://servizidicorriereveloce.com:2096/cPanel_magic_revision_1616517441/unprotected/nc-cpanel/fonts/open_sans/open_sans.min.css	C:/Users/Nicow/OneDrive/Desktop/admin/admin/servizidicorriereveloce.com_2096/cPanel_magic_revision_1616517441/unprotected/nc-cpanel/fonts/open_sans/open_sans.min.css	(from https://servizidicorriereveloce.com:2096/)
02:29:26	88211/88211	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Oct%202021%2015:14:28%20GMT	https://servizidicorriereveloce.com:2096/cPanel_magic_revision_1635261268/unprotected/nc-cpanel/webmail_style_v2_optimized.css	C:/Users/Nicow/OneDrive/Desktop/admin/admin/servizidicorriereveloce.com_2096/cPanel_magic_revision_1635261268/unprotected/nc-cpanel/webmail_style_v2_optimized.css	(from https://servizidicorriereveloce.com:2096/)
02:29:28	1026/1026	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Oct%202021%2015:14:28%20GMT	https://servizidicorriereveloce.com:2096/cPanel_magic_revision_1635261268/unprotected/nc-cpanel/images/notice-error.png	C:/Users/Nicow/OneDrive/Desktop/admin/admin/servizidicorriereveloce.com_2096/cPanel_magic_revision_1635261268/unprotected/nc-cpanel/images/notice-error.png	(from https://servizidicorriereveloce.com:2096/)
02:29:30	5360/5360	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2026%20Oct%202021%2015:14:28%20GMT	https://servizidicorriereveloce.com:2096/cPanel_magic_revision_1635261268/unprotected/nc-cpanel/images/webmail-logo.svg	C:/Users/Nicow/OneDrive/Desktop/admin/admin/servizidicorriereveloce.com_2096/cPanel_magic_revision_1635261268/unprotected/nc-cpanel/images/webmail-logo.svg	(from https://servizidicorriereveloce.com:2096/)
02:29:31	39766/39766	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2018:29:32%20GMT	https://servizidicorriereveloce.com:2096/?locale=en	C:/Users/Nicow/OneDrive/Desktop/admin/admin/servizidicorriereveloce.com_2096/index7038.html	(from https://servizidicorriereveloce.com:2096/)
02:29:31	40920/40920	---M-Z	401	error ('Access%20Denied')	text/html	date:Wed,%2015%20Jun%202022%2018:29:32%20GMT	https://servizidicorriereveloce.com:2096/?locale=ar	C:/Users/Nicow/OneDrive/Desktop/admin/admin/servizidicorriereveloce.com_2096/indexe9a0.html	(from https://servizidicorriereveloce.com:2096/)
02:29:31	39832/39832	---M-Z	401	error ('Access%20Denied')	text/html	date:Wed,%2015%20Jun%202022%2018:29:32%20GMT	https://servizidicorriereveloce.com:2096/?locale=bg	C:/Users/Nicow/OneDrive/Desktop/admin/admin/servizidicorriereveloce.com_2096/index799a.html	(from https://servizidicorriereveloce.com:2096/)
02:29:32	40196/40196	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2018:29:33%20GMT	https://servizidicorriereveloce.com:2096/?locale=cs	C:/Users/Nicow/OneDrive/Desktop/admin/admin/servizidicorriereveloce.com_2096/indexe20a.html	(from https://servizidicorriereveloce.com:2096/)
02:29:33	6494/6494	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2018:29:34%20GMT	https://servizidicorriereveloce.com:2096/resetpass?start=1	C:/Users/Nicow/OneDrive/Desktop/admin/admin/servizidicorriereveloce.com_2096/resetpass77ba.html	(from https://servizidicorriereveloce.com:2096/)
02:29:34	40066/40066	---M-Z	401	error ('Access%20Denied')	text/html	date:Wed,%2015%20Jun%202022%2018:29:34%20GMT	https://servizidicorriereveloce.com:2096/?locale=da	C:/Users/Nicow/OneDrive/Desktop/admin/admin/servizidicorriereveloce.com_2096/indexa433.html	(from https://servizidicorriereveloce.com:2096/)
02:29:34	40310/40310	---M-Z	401	error ('Access%20Denied')	text/html	date:Wed,%2015%20Jun%202022%2018:29:34%20GMT	https://servizidicorriereveloce.com:2096/?locale=de	C:/Users/Nicow/OneDrive/Desktop/admin/admin/servizidicorriereveloce.com_2096/index0d31.html	(from https://servizidicorriereveloce.com:2096/)
02:29:35	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2015%20Jun%202022%2018:29:36%20GMT	https://servizidicorriereveloce.com:2096/unprotected/nc-cpanel/nc-livechat/live-chat.php	C:/Users/Nicow/OneDrive/Desktop/admin/admin/servizidicorriereveloce.com_2096/unprotected/nc-cpanel/nc-livechat/live-chat.5.delayed	(from https://servizidicorriereveloce.com:2096/)
